ZipCode,day,count
76574,Wednesday,1
78610,Friday,12
78610,Monday,9
78610,Saturday,9
78610,Sunday,5
78610,Thursday,9
78610,Tuesday,10
78610,Wednesday,10
78612,Sunday,1
78612,Tuesday,1
78612,Wednesday,1
78613,Friday,795
78613,Monday,688
78613,Saturday,969
78613,Sunday,752
78613,Thursday,751
78613,Tuesday,729
78613,Wednesday,743
78617,Friday,1636
78617,Monday,1486
78617,Saturday,1581
78617,Sunday,1593
78617,Thursday,1511
78617,Tuesday,1566
78617,Wednesday,1547
78619,Wednesday,1
78626,Thursday,1
78640,Friday,1
78640,Monday,3
78640,Wednesday,3
78641,Friday,4
78641,Monday,1
78641,Saturday,3
78641,Sunday,1
78641,Tuesday,3
78641,Wednesday,2
78645,Saturday,1
78645,Thursday,1
78645,Tuesday,1
78652,Friday,66
78652,Monday,64
78652,Saturday,71
78652,Sunday,70
78652,Thursday,69
78652,Tuesday,65
78652,Wednesday,72
78653,Friday,218
78653,Monday,213
78653,Saturday,192
78653,Sunday,190
78653,Thursday,189
78653,Tuesday,161
78653,Wednesday,194
78660,Friday,808
78660,Monday,720
78660,Saturday,815
78660,Sunday,714
78660,Thursday,749
78660,Tuesday,724
78660,Wednesday,752
78664,Friday,8
78664,Monday,7
78664,Saturday,5
78664,Sunday,7
78664,Thursday,13
78664,Tuesday,12
78664,Wednesday,13
78669,Monday,1
78681,Friday,6
78681,Monday,15
78681,Saturday,8
78681,Sunday,5
78681,Thursday,7
78681,Tuesday,11
78681,Wednesday,10
78701,Friday,15991
78701,Monday,11311
78701,Saturday,16611
78701,Sunday,15758
78701,Thursday,12217
78701,Tuesday,10718
78701,Wednesday,11302
78702,Friday,10337
78702,Monday,9426
78702,Saturday,10484
78702,Sunday,9532
78702,Thursday,9588
78702,Tuesday,9447
78702,Wednesday,9600
78703,Friday,3390
78703,Monday,2704
78703,Saturday,3073
78703,Sunday,2596
78703,Thursday,3089
78703,Tuesday,2764
78703,Wednesday,2931
78704,Friday,13426
78704,Monday,11967
78704,Saturday,12437
78704,Sunday,11137
78704,Thursday,12435
78704,Tuesday,12070
78704,Wednesday,12509
78705,Friday,4945
78705,Monday,4128
78705,Saturday,4726
78705,Sunday,4254
78705,Thursday,4213
78705,Tuesday,4236
78705,Wednesday,4219
78712,Friday,40
78712,Monday,21
78712,Saturday,45
78712,Sunday,23
78712,Thursday,34
78712,Tuesday,29
78712,Wednesday,23
78717,Friday,1420
78717,Monday,1281
78717,Saturday,1289
78717,Sunday,1252
78717,Thursday,1288
78717,Tuesday,1248
78717,Wednesday,1268
78719,Friday,1124
78719,Monday,1192
78719,Saturday,974
78719,Sunday,1017
78719,Thursday,1125
78719,Tuesday,1066
78719,Wednesday,1107
78721,Friday,3961
78721,Monday,3832
78721,Saturday,3698
78721,Sunday,3644
78721,Thursday,3576
78721,Tuesday,3759
78721,Wednesday,3534
78722,Friday,1481
78722,Monday,1536
78722,Saturday,1556
78722,Sunday,1347
78722,Thursday,1425
78722,Tuesday,1481
78722,Wednesday,1434
78723,Friday,10411
78723,Monday,10313
78723,Saturday,9934
78723,Sunday,9582
78723,Thursday,9866
78723,Tuesday,9867
78723,Wednesday,9672
78724,Friday,3411
78724,Monday,3257
78724,Saturday,3360
78724,Sunday,3535
78724,Thursday,3124
78724,Tuesday,3153
78724,Wednesday,3077
78725,Friday,366
78725,Monday,331
78725,Saturday,307
78725,Sunday,340
78725,Thursday,314
78725,Tuesday,343
78725,Wednesday,321
78726,Friday,1134
78726,Monday,1067
78726,Saturday,1067
78726,Sunday,986
78726,Thursday,1046
78726,Tuesday,1047
78726,Wednesday,972
78727,Friday,2979
78727,Monday,2924
78727,Saturday,2668
78727,Sunday,2712
78727,Thursday,2863
78727,Tuesday,2936
78727,Wednesday,2886
78728,Friday,126
78728,Monday,81
78728,Saturday,79
78728,Sunday,90
78728,Thursday,113
78728,Tuesday,113
78728,Wednesday,103
78729,Friday,2705
78729,Monday,2546
78729,Saturday,2611
78729,Sunday,2410
78729,Thursday,2549
78729,Tuesday,2586
78729,Wednesday,2517
78730,Friday,299
78730,Monday,286
78730,Saturday,284
78730,Sunday,272
78730,Thursday,299
78730,Tuesday,277
78730,Wednesday,260
78731,Friday,2399
78731,Monday,2299
78731,Saturday,2212
78731,Sunday,2100
78731,Thursday,2327
78731,Tuesday,2332
78731,Wednesday,2349
78732,Friday,29
78732,Monday,22
78732,Saturday,31
78732,Sunday,28
78732,Thursday,23
78732,Tuesday,17
78732,Wednesday,19
78733,Friday,28
78733,Monday,21
78733,Saturday,52
78733,Sunday,40
78733,Thursday,19
78733,Tuesday,17
78733,Wednesday,13
78734,Friday,6
78734,Monday,6
78734,Saturday,10
78734,Sunday,3
78734,Thursday,7
78734,Tuesday,3
78734,Wednesday,8
78735,Friday,1466
78735,Monday,1377
78735,Saturday,1322
78735,Sunday,1196
78735,Thursday,1322
78735,Tuesday,1288
78735,Wednesday,1322
78736,Friday,456
78736,Monday,414
78736,Saturday,387
78736,Sunday,386
78736,Thursday,390
78736,Tuesday,368
78736,Wednesday,343
78737,Friday,18
78737,Monday,18
78737,Saturday,16
78737,Sunday,15
78737,Thursday,18
78737,Tuesday,16
78737,Wednesday,16
78738,Friday,3
78738,Monday,2
78738,Saturday,3
78738,Sunday,2
78738,Thursday,5
78738,Tuesday,5
78738,Wednesday,3
78739,Friday,546
78739,Monday,484
78739,Saturday,505
78739,Sunday,508
78739,Thursday,535
78739,Tuesday,515
78739,Wednesday,604
78741,Friday,16580
78741,Monday,16130
78741,Saturday,17127
78741,Sunday,16613
78741,Thursday,15592
78741,Tuesday,15767
78741,Wednesday,16182
78742,Friday,280
78742,Monday,254
78742,Saturday,250
78742,Sunday,247
78742,Thursday,260
78742,Tuesday,234
78742,Wednesday,235
78744,Friday,11141
78744,Monday,10422
78744,Saturday,11033
78744,Sunday,10853
78744,Thursday,9972
78744,Tuesday,10201
78744,Wednesday,10049
78745,Friday,12532
78745,Monday,11812
78745,Saturday,11701
78745,Sunday,11324
78745,Thursday,11772
78745,Tuesday,11765
78745,Wednesday,11874
78746,Friday,2764
78746,Monday,2101
78746,Saturday,3211
78746,Sunday,2678
78746,Thursday,2095
78746,Tuesday,1939
78746,Wednesday,2078
78747,Friday,1327
78747,Monday,1318
78747,Saturday,1314
78747,Sunday,1325
78747,Thursday,1221
78747,Tuesday,1282
78747,Wednesday,1291
78748,Friday,6619
78748,Monday,6263
78748,Saturday,6176
78748,Sunday,5929
78748,Thursday,6053
78748,Tuesday,6055
78748,Wednesday,6096
78749,Friday,3528
78749,Monday,3271
78749,Saturday,3139
78749,Sunday,3010
78749,Thursday,3314
78749,Tuesday,3268
78749,Wednesday,3311
78750,Friday,2388
78750,Monday,2366
78750,Saturday,2261
78750,Sunday,2204
78750,Thursday,2247
78750,Tuesday,2318
78750,Wednesday,2179
78751,Friday,5407
78751,Monday,5366
78751,Saturday,5137
78751,Sunday,4911
78751,Thursday,5314
78751,Tuesday,5196
78751,Wednesday,5401
78752,Friday,6755
78752,Monday,6147
78752,Saturday,6653
78752,Sunday,6142
78752,Thursday,6272
78752,Tuesday,6193
78752,Wednesday,6133
78753,Friday,15669
78753,Monday,15332
78753,Saturday,15519
78753,Sunday,14904
78753,Thursday,14964
78753,Tuesday,15004
78753,Wednesday,14679
78754,Friday,2302
78754,Monday,2369
78754,Saturday,1905
78754,Sunday,1923
78754,Thursday,2205
78754,Tuesday,2371
78754,Wednesday,2299
78756,Friday,1495
78756,Monday,1375
78756,Saturday,1273
78756,Sunday,1161
78756,Thursday,1473
78756,Tuesday,1405
78756,Wednesday,1471
78757,Friday,4851
78757,Monday,4634
78757,Saturday,4515
78757,Sunday,3907
78757,Thursday,4619
78757,Tuesday,4630
78757,Wednesday,4672
78758,Friday,14087
78758,Monday,13578
78758,Saturday,13642
78758,Sunday,12710
78758,Thursday,12963
78758,Tuesday,13475
78758,Wednesday,13209
78759,Friday,5863
78759,Monday,5292
78759,Saturday,5213
78759,Sunday,4587
78759,Thursday,5443
78759,Tuesday,5564
78759,Wednesday,5572
